English,Vietnamese,IPA,POS,Example_EN,Example_VI,Image
actor,nam diễn viên,/ˈæktər/,noun,He is a good actor.,Anh ấy là một nam diễn viên giỏi.,
actress,nữ diễn viên,/ˈæktrəs/,noun,She is a famous actress.,Cô ấy là một nữ diễn viên nổi tiếng.,
theater,nhà hát,/ˈθiːətər/,noun,We go to the theater.,Chúng tôi đi nhà hát.,
screen,màn hình,/skriːn/,noun,The screen is big.,Màn hình rất to.,
stage,sân khấu,/steɪdʒ/,noun,The singer is on stage.,Ca sĩ đang trên sân khấu.,
art,nghệ thuật,/ɑːrt/,noun,Art is beautiful.,Nghệ thuật thì đẹp.,
painter,họa sĩ,/ˈpeɪntər/,noun,The painter paints pictures.,Họa sĩ vẽ tranh.,
picture,bức tranh,/ˈpɪktʃər/,noun,This is a nice picture.,Đây là một bức tranh đẹp.,
color,màu sắc,/ˈkʌlər/,noun,Red is my favorite color.,Đỏ là màu tôi thích nhất.,
brush,cọ vẽ,/brʌʃ/,noun,Use a brush to paint.,Dùng cọ để vẽ.,
museum,bảo tàng,/mjuˈziːəm/,noun,We visit the museum.,Chúng tôi thăm bảo tàng.,
gallery,phòng trưng bày,/ˈɡæləri/,noun,The gallery shows modern art.,Phòng trưng bày giới thiệu nghệ thuật hiện đại.,
statue,tượng,/ˈstætʃuː/,noun,The statue is old.,Bức tượng thì cổ.,
tower,tháp,/ˈtaʊər/,noun,The tower is very tall.,Ngọn tháp rất cao.,
castle,lâu đài,/ˈkæsl/,noun,The castle is beautiful.,Lâu đài thì đẹp.,
palace,cung điện,/ˈpæləs/,noun,The king lives in a palace.,Nhà vua sống trong cung điện.,
temple,ngôi đền,/ˈtɛmpl/,noun,We visit a temple.,Chúng tôi thăm một ngôi đền.,
church,nhà thờ,/tʃɜːrtʃ/,noun,The church is near the school.,Nhà thờ gần trường học.,
mosque,nhà thờ Hồi giáo,/mɑːsk/,noun,The mosque is big.,Nhà thờ Hồi giáo rất lớn.,
bridge,cây cầu,/brɪdʒ/,noun,The bridge is long.,Cây cầu dài.,
streetlight,đèn đường,/ˈstriːtlaɪt/,noun,The streetlight is on.,Đèn đường đã bật.,
traffic,giao thông,/ˈtræfɪk/,noun,The traffic is heavy.,Giao thông đông đúc.,
accident,tai nạn,/ˈæksɪdənt/,noun,A car accident happened.,Một vụ tai nạn xe hơi đã xảy ra.,
police car,xe cảnh sát,/pəˈliːs kɑːr/,noun,The police car is fast.,Xe cảnh sát chạy nhanh.,
firetruck,xe cứu hỏa,/ˈfaɪərtrʌk/,noun,The firetruck is red.,Xe cứu hỏa màu đỏ.,
ambulance,xe cứu thương,/ˈæmbjələns/,noun,The ambulance comes quickly.,Xe cứu thương đến nhanh chóng.,
subway,tàu điện ngầm,/ˈsʌbweɪ/,noun,The subway is crowded.,Tàu điện ngầm rất đông.,
ferry,phà,/ˈfɛri/,noun,We take a ferry across the river.,Chúng tôi đi phà qua sông.,
highway,đường cao tốc,/ˈhaɪweɪ/,noun,The highway is long.,Đường cao tốc rất dài.,
tunnel,đường hầm,/ˈtʌnl/,noun,The car goes through a tunnel.,Xe đi qua đường hầm.,
ticket office,phòng vé,/ˈtɪkɪt ˈɒfɪs/,noun,Buy tickets at the ticket office.,Mua vé tại phòng vé.,
driver’s license,bằng lái,/ˈdraɪvərz ˈlaɪsns/,noun,He shows his driver’s license.,Anh ấy đưa ra bằng lái.,
petrol,xăng,/ˈpɛtrəl/,noun,The car needs petrol.,Xe cần đổ xăng.,
gas station,trạm xăng,/ˈɡæs steɪʃn/,noun,We stop at a gas station.,Chúng tôi dừng ở trạm xăng.,
electricity,điện,/ɪˌlɛkˈtrɪsəti/,noun,Electricity is important.,Điện rất quan trọng.,
power,năng lượng,/ˈpaʊər/,noun,Solar power is clean.,Năng lượng mặt trời thì sạch.,
light,ánh sáng,/laɪt/,noun,The light is bright.,Ánh sáng rất sáng.,
dark,tối,/dɑːrk/,adj,The room is dark.,Căn phòng thì tối.,
earth,trái đất,/ɜːrθ/,noun,We live on Earth.,Chúng ta sống trên Trái đất.,
world,thế giới,/wɜːrld/,noun,The world is big.,Thế giới thì rộng lớn.,
nature,thiên nhiên,/ˈneɪtʃər/,noun,Nature is beautiful.,Thiên nhiên thì đẹp.,
beach,bãi biển,/biːtʃ/,noun,We walk on the beach.,Chúng tôi đi bộ trên bãi biển.,
island,hòn đảo,/ˈaɪlənd/,noun,This is a small island.,Đây là một hòn đảo nhỏ.,
desert,sa mạc,/ˈdɛzərt/,noun,The desert is hot.,Sa mạc thì nóng.,
bird,chim,/bɜːrd/,noun,The bird can sing.,Con chim có thể hót.,
horse,ngựa,/hɔːrs/,noun,The horse runs fast.,Con ngựa chạy nhanh.,
cow,bò,/kaʊ/,noun,The cow gives milk.,Con bò cho sữa.,
pig,lợn,/pɪɡ/,noun,The pig is fat.,Con lợn thì béo.,
duck,vịt,/dʌk/,noun,The duck swims.,Con vịt bơi.,
sheep,cừu,/ʃiːp/,noun,The sheep eats grass.,Con cừu ăn cỏ.,
goat,dê,/ɡoʊt/,noun,The goat climbs the hill.,Con dê leo đồi.,
lion,sư tử,/ˈlaɪən/,noun,The lion roars.,Sư tử gầm.,
elephant,voi,/ˈɛlɪfənt/,noun,The elephant is big.,Con voi to lớn.,
monkey,khỉ,/ˈmʌŋki/,noun,The monkey climbs trees.,Con khỉ leo cây.,
bear,gấu,/ber/,noun,The bear is dangerous.,Con gấu thì nguy hiểm.,
leaf,lá,/liːf/,noun,The leaf is green.,Chiếc lá màu xanh.,
wheat,lúa mì,/wiːt/,noun,Wheat makes bread.,Lúa mì làm bánh mì.,
juice,nước ép,/dʒuːs/,noun,Orange juice is tasty.,Nước cam ngon.,
rice noodle,bún / phở,/raɪs ˈnuːdl/,noun,Rice noodles are common in Vietnam.,Bún/phở phổ biến ở Việt Nam.,
chicken meat,thịt gà,/ˈtʃɪkɪn miːt/,noun,Chicken meat is tasty.,Thịt gà ngon.,
fish meat,thịt cá,/fɪʃ miːt/,noun,Fish meat is healthy.,Thịt cá thì tốt cho sức khỏe.,
seafood,hải sản,/ˈsiːfuːd/,noun,Seafood is fresh here.,Hải sản ở đây tươi.,
